model,method,n,seed,acc,ece,brier
gemma,GPP-cosine,100,0,0.5734840698869476,0.25956552387631565,0.6648777219175983
gemma,GPP-rbf,100,0,0.5097636176772867,0.10111837427515658,0.6006024073680079
gemma,GPP-laplace,100,0,0.5241521068859198,0.07233124824369061,0.593749345728174
gemma,LPE,100,0,0.49126413155190135,0.18553744460181365,0.6584066501541782
gemma,LP-temp,100,0,0.49126413155190135,0.0468497868756944,0.6168687020261294
gemma,GPP-cosine,500,0,0.6248715313463515,0.21374429693447478,0.5729547838667837
gemma,GPP-rbf,500,0,0.6300102774922919,0.061003052195934195,0.5025780138308056
gemma,GPP-laplace,500,0,0.6351490236382322,0.06645510749238615,0.4958551615454411
gemma,LPE,500,0,0.632065775950668,0.08514121245259738,0.5018659861049566
gemma,LP-temp,500,0,0.6361767728674204,0.09328813122233268,0.5026847745186632
gemma,GPP-cosine,1500,0,0.6495375128468653,0.14363537368892032,0.499321422991801
gemma,GPP-rbf,1500,0,0.6351490236382322,0.038061035040838735,0.4807620710639712
gemma,GPP-laplace,1500,0,0.6433710174717369,0.03342283638873793,0.4638080064785206
gemma,LPE,1500,0,0.671120246659815,0.047384140639731474,0.4563385664942404
gemma,LP-temp,1500,0,0.6680369989722508,0.04627228126646635,0.4551293289069524
gemma,GPP-cosine,2400,0,0.644398766700925,0.12383192918528511,0.49075719427499764
gemma,GPP-rbf,2400,0,0.6515930113052415,0.04887872974159538,0.46041077598291136
gemma,GPP-laplace,2400,0,0.6659815005138746,0.026844376007062416,0.4469680529751912
gemma,LPE,2400,0,0.6649537512846866,0.051907471309340404,0.4581504261330347
gemma,LP-temp,2400,0,0.6557040082219938,0.03689982663701701,0.45821907762472835
gemma,GPP-cosine,100,1,0.5580678314491264,0.25181963001468816,0.6838110383015511
gemma,GPP-rbf,100,1,0.5724563206577595,0.042078570404376174,0.5499381537766129
gemma,GPP-laplace,100,1,0.5714285714285714,0.11925478118786706,0.5697303064189809
gemma,LPE,100,1,0.5539568345323741,0.1308722878899138,0.5981934328785526
gemma,LP-temp,100,1,0.5087358684480987,0.10362910865433067,0.6217441783967737
gemma,GPP-cosine,500,1,0.5642343268242549,0.2749399168518317,0.6868517387553656
gemma,GPP-rbf,500,1,0.6330935251798561,0.08741302434489025,0.5043697072257125
gemma,GPP-laplace,500,1,0.6382322713257965,0.08429909420160447,0.4976779660231343
gemma,LPE,500,1,0.605344295991778,0.11417021725675186,0.5540985527188426
gemma,LP-temp,500,1,0.60431654676259,0.07486301119919507,0.5434597787279922
gemma,GPP-cosine,1500,1,0.6300102774922919,0.15884167109094446,0.5137986411986949
gemma,GPP-rbf,1500,1,0.6546762589928058,0.052588334186471644,0.464278436437572
gemma,GPP-laplace,1500,1,0.6557040082219938,0.039501226910094195,0.4612801147750461
gemma,LPE,1500,1,0.6515930113052415,0.05622173623705449,0.4703396343835435
gemma,LP-temp,1500,1,0.6485097636176773,0.02985088527444509,0.4662917495030889
gemma,GPP-cosine,2400,1,0.6382322713257965,0.12643026334653779,0.49631759374792
gemma,GPP-rbf,2400,1,0.6587872559095581,0.03135599659991288,0.4544844293117748
gemma,GPP-laplace,2400,1,0.6608427543679343,0.020634279313582415,0.44518602565449655
gemma,LPE,2400,1,0.65775950668037,0.07224597984815796,0.468432164749239
gemma,LP-temp,2400,1,0.6598150051387461,0.05570185774122724,0.4653138955784003
gemma,GPP-cosine,100,2,0.49743062692702983,0.3186946204975477,0.7863142315281098
gemma,GPP-rbf,100,2,0.5344295991778006,0.08029665847721475,0.5996366303199099
gemma,GPP-laplace,100,2,0.5570400822199383,0.1151615313243768,0.5887988383638211
gemma,LPE,100,2,0.5354573484069887,0.14681414967328155,0.6292101592740401
gemma,LP-temp,100,2,0.5097636176772867,0.08306341342786963,0.6170462800505354
gemma,GPP-cosine,500,2,0.6032887975334018,0.2385925762087321,0.616936473163048
gemma,GPP-rbf,500,2,0.6125385405960946,0.04984447605073268,0.5062315183791466
gemma,GPP-laplace,500,2,0.6361767728674204,0.05773866994407906,0.4921885771697592
gemma,LPE,500,2,0.6197327852004111,0.12201701293011243,0.5249992873277631
gemma,LP-temp,500,2,0.6238437821171634,0.03944494321028746,0.5008166049103702
gemma,GPP-cosine,1500,2,0.65775950668037,0.1380341581058404,0.5031631876265084
gemma,GPP-rbf,1500,2,0.6557040082219938,0.04247922712950397,0.4665454115671815
gemma,GPP-laplace,1500,2,0.6670092497430626,0.03648802423648697,0.45234994706700704
gemma,LPE,1500,2,0.6536485097636177,0.06142031215322716,0.4752734488633753
gemma,LP-temp,1500,2,0.6557040082219938,0.06114812256430951,0.46885860072038105
gemma,GPP-cosine,2400,2,0.6587872559095581,0.11715241914417857,0.49016840295692493
gemma,GPP-rbf,2400,2,0.6628982528263104,0.04243816596140964,0.46140507824105287
