dataset,model,variant,K,method,best_layer,soft_ce,tvd,acc,corrAlea_entropy,corrMI_entropy,corrAleaS_entropy,mono_alea
lewidi_armis,gemma,mean256,2,GPP-cosine,37,0.7042985738915154,0.30766479747980147,0.6537931034482758,0.10599184031179054,0.11384165389188886,0.09709871706133064,
lewidi_armis,gemma,mean256,2,GPP-laplace,50,0.6694377708718735,0.3523391482439534,0.5862068965517242,-0.17950727710028686,-0.018737657725281985,-0.18365958886019126,
lewidi_armis,gemma,mean256,2,GPP-rbf,25,0.575925586652539,0.2746873608148047,0.7310344827586207,0.15594484863645502,0.09403690529520436,0.1543725903385214,
lewidi_armis,gemma,mean256,2,LP-temp,25,0.5902447739774633,0.3074607836988477,0.7337931034482759,0.2081173502145767,,0.22594782504335006,
lewidi_armis,gemma,mean256,2,LPE,25,0.6122484553330428,0.2631522260461573,0.7337931034482759,0.21206339259478552,0.15827012716429742,0.21616268301391367,
lewidi_armis,llama,mean256,2,GPP-cosine,48,0.6516293633357925,0.3001134860077725,0.7020689655172414,0.024460680997258594,0.1472614778903008,-0.02299166239084362,
lewidi_armis,llama,mean256,2,GPP-laplace,32,0.6714453616057581,0.3494342772302957,0.5793103448275863,-0.04433754609949448,0.04596802666589406,-0.06849599420605493,
lewidi_armis,llama,mean256,2,GPP-rbf,32,0.6107673320611724,0.29018609621626296,0.713103448275862,0.0755612021609399,0.02613015661939142,0.08190779726738039,
lewidi_armis,llama,mean256,2,LP-temp,32,0.6197954029569935,0.3250334619883214,0.6951724137931035,0.048954522876528316,,0.06794857367293963,
lewidi_armis,llama,mean256,2,LPE,32,0.665305486522084,0.2880103924002394,0.6951724137931035,0.07735893561279589,0.06336618974695714,0.07629673680294832,
lewidi_armis,qwen,mean256,2,GPP-cosine,38,0.6535042732516956,0.3085302490829286,0.6717241379310345,0.09851508555592295,0.11258551285331533,0.04249351888307705,
lewidi_armis,qwen,mean256,2,GPP-laplace,19,0.6827234230602557,0.35613838922360846,0.576551724137931,-0.11666731084830007,-0.0417343301569615,-0.14602442720851275,
lewidi_armis,qwen,mean256,2,GPP-rbf,38,0.641103216105302,0.30941757869425,0.6813793103448276,0.08322142361935977,-0.028222427366223556,0.0797181151349191,
lewidi_armis,qwen,mean256,2,LP-temp,19,0.6362515290882762,0.3350326598691968,0.6482758620689655,0.12474546749585014,,0.1471192682747434,
lewidi_armis,qwen,mean256,2,LPE,29,0.731499001976439,0.3130423782793965,0.6482758620689655,0.11042263071174876,0.05114388599337196,0.0991515440605131,
lewidi_convabuse,gemma,mean256,2,GPP-cosine,0,0.3556650954040712,0.14801596984363816,0.8683333333333334,0.275349688491513,0.2149218363081955,0.25897188785509495,
lewidi_convabuse,gemma,mean256,2,GPP-laplace,0,0.3993519489547779,0.2246584821014576,0.8235714285714286,0.19953578264545954,0.19129479354780338,0.19878400560661053,
lewidi_convabuse,gemma,mean256,2,GPP-rbf,12,0.2960336074484397,0.1453991636923179,0.8776190476190475,0.31305380754279305,0.24564098992249145,0.29786146585172124,
lewidi_convabuse,gemma,mean256,2,LP-temp,25,0.3614077496009921,0.18811319540164878,0.8645238095238096,0.1895829263955289,,0.19093669586722042,
lewidi_convabuse,gemma,mean256,2,LPE,25,0.3480989015158154,0.13179097250178776,0.8783333333333333,0.2782688869232168,0.2724048006461595,0.26696981600525155,
lewidi_convabuse,llama,mean256,2,GPP-cosine,64,0.32135396492183776,0.15480506841562494,0.8676190476190477,0.2916642888356204,0.2625035105281915,0.2850174684886332,
lewidi_convabuse,llama,mean256,2,GPP-laplace,16,0.39833699689090835,0.22013241787729343,0.8228571428571427,0.17109499649720736,0.16314922720365113,0.1691771820467254,
lewidi_convabuse,llama,mean256,2,GPP-rbf,16,0.296213847011894,0.13306315996622636,0.8754761904761905,0.33960015265793403,0.28294515017660915,0.3039366646602186,
lewidi_convabuse,llama,mean256,2,LP-temp,32,0.35448632721103274,0.1844396005830841,0.8671428571428571,0.21063561587187518,,0.20793940472587474,
lewidi_convabuse,llama,mean256,2,LPE,32,0.3417296755767056,0.12951184160422224,0.883095238095238,0.28587190504380156,0.2809397166585496,0.2816787176764904,
lewidi_convabuse,qwen,mean256,2,GPP-cosine,0,0.34188553467993954,0.1905178452167387,0.8488095238095237,0.2980821088088722,0.196598335213254,0.2940227719286006,
lewidi_convabuse,qwen,mean256,2,GPP-laplace,0,0.40638337631618987,0.22721045940427023,0.822857142857143,0.1982456488784639,0.18943048399843798,0.19933829229117692,
lewidi_convabuse,qwen,mean256,2,GPP-rbf,38,0.3109630817052284,0.14836131136532502,0.8742857142857143,0.30222442136929895,0.2436187215469158,0.2863246968990275,
lewidi_convabuse,qwen,mean256,2,LP-temp,29,0.3860762403990125,0.20144344114322665,0.8514285714285714,0.17827224201212194,,0.1784176564014496,
lewidi_convabuse,qwen,mean256,2,LPE,29,0.36283085011868443,0.14265066221281456,0.8742857142857143,0.2614575056532259,0.24661367191649397,0.2526671860155252,
lewidi_hsbrexit,gemma,mean256,2,GPP-cosine,0,0.4561237140763893,0.14084828526268298,0.8726190476190476,0.30243229095138097,0.2882474894862452,0.2852769593629913,
lewidi_hsbrexit,gemma,mean256,2,GPP-laplace,12,0.4003371966523125,0.17652257312133554,0.8928571428571429,0.051739219401519224,0.02998115800055704,0.07406823991020067,
lewidi_hsbrexit,gemma,mean256,2,GPP-rbf,37,0.3997976236066876,0.129505267290404,0.8940476190476192,0.3733418463238139,0.2787030266608276,0.34930007881653036,
lewidi_hsbrexit,gemma,mean256,2,LP-temp,37,0.3441565703710177,0.12342278739719388,0.9059523809523811,0.3832277163738329,,0.3557740553114548,
lewidi_hsbrexit,gemma,mean256,2,LPE,37,0.51377475347222,0.11807491594580218,0.9011904761904763,0.36684205836523187,0.2873071295928457,0.35189431692095735,
lewidi_hsbrexit,llama,mean256,2,GPP-cosine,48,0.37607658625443213,0.12145307985040128,0.9083333333333332,0.3865744922124147,0.3465513643908002,0.39680596032106624,
lewidi_hsbrexit,llama,mean256,2,GPP-laplace,80,0.4111904715157005,0.1671045271640954,0.8928571428571429,-0.05733318123584345,-0.08466831374369525,-0.02207286716797851,
lewidi_hsbrexit,llama,mean256,2,GPP-rbf,80,0.4166804169561377,0.13581634974107146,0.8928571428571429,0.2929243919232515,0.24105938253278975,0.2716932274897931,
lewidi_hsbrexit,llama,mean256,2,LP-temp,48,0.3560661261093726,0.13212622644879937,0.9047619047619048,0.31769096255219603,,0.30726803041732254,
lewidi_hsbrexit,llama,mean256,2,LPE,48,0.5356346702430612,0.12410445473913223,0.8964285714285716,0.29069398838001836,0.24198760792201437,0.3157255626681937,
lewidi_hsbrexit,qwen,mean256,2,GPP-cosine,0,0.3861435874396656,0.15629953847244557,0.8928571428571429,0.29140707781598274,0.13853841328079725,0.28889922589575806,
lewidi_hsbrexit,qwen,mean256,2,GPP-laplace,38,0.41220291715662,0.17157777924911072,0.8928571428571429,-0.04975882312543456,-0.07495579211909388,-0.027240894348420686,
lewidi_hsbrexit,qwen,mean256,2,GPP-rbf,38,0.41592080059861775,0.13633510048800546,0.8928571428571429,0.2763032987873124,0.22773462088323781,0.2823620433130153,
lewidi_hsbrexit,qwen,mean256,2,LP-temp,48,0.36940493790701234,0.14098869508507159,0.9035714285714287,0.275994751713079,,0.27232064086151947,
lewidi_hsbrexit,qwen,mean256,2,LPE,38,0.546876747456137,0.12615478201709746,0.8964285714285716,0.2457628955026435,0.22676038126144804,0.28527788886428274,
