dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAleaS_entropy,corrMIS_entropy,mono_alea
chaosnli_snli,qwen,0,GPP-cosine,0,64,1.03824953341825,0.18805424463283243,0.3912556928674598,0.4502544846035998,0.5362637362637362,0.5362637362637362,0.9900219440460205,0.007179469335824251,-0.05379486599601596,-0.016063395402694858,-0.053794865996015934,-0.016063395402694854,-0.10029683979751015,-0.008418586273400298,-0.08346611347370451,-0.023166598312679365,-0.11062454854738542,-0.01510717143070129,-0.06232988613500318,-0.04121873595623759,-0.7999999999999999
chaosnli_snli,qwen,0,GPP-rbf,0,64,1.1189193517447407,0.19994750947371676,0.3932463810850795,0.3472581290688579,0.5252747252747253,0.5252747252747253,0.6674686670303345,0.20326729118824005,-0.027418390399008268,-0.002521768834418075,-0.027418390399008265,-0.0025217688344180735,-0.05008685735737059,-0.012742813999854635,-0.045461645001664205,-0.01796393988438179,-0.05990634114629792,-0.02154198001858812,-0.03194480873640859,-0.011601353797818579,-0.7999999999999999
chaosnli_snli,qwen,0,GPP-laplace,0,64,1.0436140540016603,0.1974484795618934,0.40914951731542964,0.512698484497545,0.5362637362637362,0.5362637362637362,0.6890887022018433,0.3731600344181061,-0.0273160207691988,-0.012931491179842027,-0.02731602076919879,-0.012931491179842033,-0.013444488273645448,-0.017411429335366248,-0.028042800342237585,-0.01879320283365411,-0.01412889827234178,-0.021717443793081177,-0.01765803658771351,-0.012175854203591033,0.19999999999999998
chaosnli_snli,qwen,0,LPE,0,64,1.3444060673381326,0.23185738559908164,0.4123769704388086,0.2761353171366835,0.4967032967032967,0.4967032967032967,0.5609903931617737,0.1181836798787117,0.014773384287603001,0.01754770347615798,0.01477338428760298,0.017547703476157972,-0.007358614644548301,-0.00819382397684084,0.0008600707655398061,0.011935627323058726,-0.016877523088058725,-0.008517657797846571,0.0007816492381897993,0.021651257115207625,-0.39999999999999997
chaosnli_snli,qwen,0,LP-temp,0,64,1.0701481301759348,0.21053713728340295,0.42769248308127406,0.537880162786925,0.4703296703296703,0.4703296703296703,1.0875815611664503,,0.02652381427444536,,0.026523814274445362,,0.006801415936454083,,0.015726497897664796,,0.001782535319266993,,0.002369726587819812,,0.19999999999999998
chaosnli_snli,qwen,0,GPP-cosine,0,256,1.0327114262041999,0.1922714654476923,0.40209490796039393,0.5016535573010338,0.5362637362637362,0.5362637362637362,1.045412540435791,0.0052373940125107765,-0.054135535436047516,-0.010811012137848946,-0.05413553543604749,-0.01081101213784895,-0.06166805938958431,0.004506481319084769,-0.055259648406380875,-0.011844896240190306,-0.05668974895802023,0.0008366423925834894,-0.05720964273952653,-0.022840579332324546,-0.7999999999999999
chaosnli_snli,qwen,0,GPP-rbf,0,256,1.0728658440430088,0.20186608407468556,0.4068379004414265,0.46268225773420363,0.5054945054945055,0.5054945054945055,0.6655486226081848,0.33719050884246826,-0.0870226796062456,-0.06573380813578292,-0.08702267960624557,-0.06573380813578295,-0.06597033476761213,-0.05064309087803121,-0.07134857893494793,-0.05281580215470622,-0.054322626563305956,-0.042475696186686174,-0.10840865335191215,-0.05585132551082165,-0.7999999999999999
chaosnli_snli,qwen,0,GPP-laplace,0,256,1.0413457740931344,0.19528222485214008,0.40439780554273624,0.5006852535953381,0.5274725274725275,0.5274725274725275,0.682708203792572,0.3666870892047882,-0.07329446105918805,-0.054240230266964694,-0.07329446105918805,-0.0542402302669647,-0.05373213119437757,-0.045970252101075,-0.06460841005807474,-0.04800424011483035,-0.04584399207258037,-0.04127118071296704,-0.06106202317053983,-0.039454654599469834,-0.39999999999999997
chaosnli_snli,qwen,0,LPE,0,256,1.4399509950352165,0.2679845069970411,0.4591823329214374,0.3395407053639875,0.4,0.4,0.44796982407569885,0.2974523603916168,-0.09621391398318851,-0.05298859546907969,-0.0962139139831885,-0.052988595469079705,-0.058473988663409866,-0.026556999045729078,-0.07629972399605384,-0.04228332040009743,-0.04437920514414521,-0.01954593017677403,-0.11534062276734418,-0.06805788258563812,-0.7999999999999999
chaosnli_snli,qwen,0,LP-temp,0,256,1.092603228048916,0.2200294015465691,0.4408501035501404,0.5465487038102225,0.367032967032967,0.367032967032967,1.0962765432585282,,-0.029352034153435458,,-0.02935203415343545,,-0.018427351653518574,,-0.019407169958966103,,-0.008791633592731933,,-0.07607177786780098,,-0.39999999999999997
chaosnli_snli,qwen,0,GPP-cosine,0,1024,1.029445162976075,0.18678981623738425,0.3907173874368379,0.4646354620885254,0.5406593406593406,0.5406593406593406,1.0077548027038574,0.0036783076357096434,-0.05904225720266751,-0.00779224330877447,-0.059042257202667495,-0.007792243308774484,-0.07553731042720097,0.0035894788576667043,-0.07147306960429668,-0.012676692989119463,-0.07536740955619622,-0.0010213816604529823,-0.060680848935242976,-0.023644112908829708,-0.19999999999999998
chaosnli_snli,qwen,0,GPP-rbf,0,1024,1.1907453440740112,0.22031716571346205,0.4196897664588395,0.358293774012277,0.4901098901098901,0.4901098901098901,0.5764991641044617,0.27121588587760925,-0.06470310594202149,-0.04568569850080214,-0.06470310594202147,-0.04568569850080212,-0.05664605077277666,-0.03328345587214786,-0.058695415563708095,-0.034466871432391896,-0.051858012786531384,-0.02528832480483389,-0.06736604880061821,-0.05178937386703653,-0.39999999999999997
