dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,gemma,0,27,0,GPP neg-latent-var,0.5002213306208559,0.2231012658227848
goemotions,gemma,0,27,0,GPP -MI,0.5157992389993973,0.2231012658227848
goemotions,gemma,0,27,0,Maha,0.5361763068448195,0.2231012658227848
goemotions,gemma,0,27,0,MSP,0.4895733917688032,0.2231012658227848
goemotions,gemma,0,27,0,kNN,0.5338018426428237,0.2231012658227848
goemotions,gemma,0,27,0,LPE -var,0.5354940015739066,0.2231012658227848
goemotions,gemma,0,27,1,GPP neg-latent-var,0.5020181375996249,0.22151898734177214
goemotions,gemma,0,27,1,GPP -MI,0.5280990472841739,0.22151898734177214
goemotions,gemma,0,27,1,Maha,0.534297351148617,0.22151898734177214
goemotions,gemma,0,27,1,MSP,0.5181810285647311,0.22151898734177214
goemotions,gemma,0,27,1,kNN,0.5383163594199987,0.22151898734177214
goemotions,gemma,0,27,1,LPE -var,0.5555382886276874,0.22151898734177214
goemotions,gemma,0,27,2,GPP neg-latent-var,0.5021133673230193,0.22415611814345993
goemotions,gemma,0,27,2,GPP -MI,0.5299120747103342,0.22415611814345993
goemotions,gemma,0,27,2,Maha,0.5379009066706851,0.22415611814345993
goemotions,gemma,0,27,2,MSP,0.5206706056191815,0.22415611814345993
goemotions,gemma,0,27,2,kNN,0.5357263202397696,0.22415611814345993
goemotions,gemma,0,27,2,LPE -var,0.5652035823119684,0.22415611814345993
goemotions,gemma,0,3,0,GPP neg-latent-var,0.5100364898349745,0.2558465855940131
goemotions,gemma,0,3,0,GPP -MI,0.5359631959668378,0.2558465855940131
goemotions,gemma,0,3,0,Maha,0.4672198459000707,0.2558465855940131
goemotions,gemma,0,3,0,MSP,0.5332978670227579,0.2558465855940131
goemotions,gemma,0,3,0,kNN,0.4736823313505523,0.2558465855940131
goemotions,gemma,0,3,0,LPE -var,0.48290297702782803,0.2558465855940131
goemotions,gemma,0,3,1,GPP neg-latent-var,0.5054234891708738,0.24368568755846587
goemotions,gemma,0,3,1,GPP -MI,0.536119402452174,0.24368568755846587
goemotions,gemma,0,3,1,Maha,0.47170074050800137,0.24368568755846587
goemotions,gemma,0,3,1,MSP,0.55569519919451,0.24368568755846587
goemotions,gemma,0,3,1,kNN,0.47342704532308855,0.24368568755846587
goemotions,gemma,0,3,1,LPE -var,0.5059019273202465,0.24368568755846587
goemotions,gemma,0,3,2,GPP neg-latent-var,0.5081334485393354,0.26707202993451823
goemotions,gemma,0,3,2,GPP -MI,0.5408350530923528,0.26707202993451823
goemotions,gemma,0,3,2,Maha,0.4555480973157477,0.26707202993451823
goemotions,gemma,0,3,2,MSP,0.5323856211483944,0.26707202993451823
goemotions,gemma,0,3,2,kNN,0.4704689407950642,0.26707202993451823
goemotions,gemma,0,3,2,LPE -var,0.501014003241954,0.26707202993451823
