dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAleaS_entropy,corrMIS_entropy,mono_alea
goemotions,gemma,0,GPP-cosine,2,1024,3.5507408834118808,0.6426361462419807,0.7767326791636296,1.399106888073846,0.1625,0.1625,2.6411311626434326,0.02616071328520775,-0.12489763922962807,0.09090959742273821,-0.12489763922962807,0.09090959742273821,-0.10215429246718671,0.08084477513272101,-0.1135934364150804,0.08650359918846161,-0.06540743281731795,0.063686955465567,-0.14728396967225785,0.12739548965964534,-1.0
goemotions,gemma,0,GPP-rbf,2,1024,3.3468849487519194,0.6210686603996971,0.7606612216556096,1.3537845819922878,0.16166666666666665,0.16166666666666665,2.3960633277893066,0.2292550951242447,-0.12512640781022724,0.08965991903450757,-0.12512640781022727,0.0896599190345076,-0.10866641988291213,0.07525295696643575,-0.11250124835395749,0.09308563120594783,-0.08158172590859483,0.05569374115704356,-0.14555993109266727,0.13217422604702794,-0.7999999999999999
goemotions,gemma,0,GPP-laplace,2,1024,3.2853138519786,0.6061637483151691,0.7463183549664488,1.3308790884391624,0.185,0.185,2.429351806640625,0.17638054490089417,-0.11726928913916172,0.08907730645201174,-0.11726928913916171,0.08907730645201176,-0.10140817864921851,0.07641345857273324,-0.10459809171955989,0.0928558514803405,-0.07525146185146037,0.05874896892234041,-0.1365903651633443,0.13033883609864325,-1.0
goemotions,gemma,0,LPE,2,1024,3.8934229263896136,0.6092428010313868,0.7328923895905051,1.0741062732894462,0.1725,0.1725,2.044135808944702,0.2639126181602478,-0.13674934075247616,0.11860122576536199,-0.13674934075247613,0.11860122576536197,-0.11447709567174827,0.1042740787404203,-0.12656544005096895,0.11253689889581575,-0.08163284381995006,0.08200421392667931,-0.1404235843122068,0.1362781952416389,-1.0
goemotions,gemma,0,LP-temp,2,1024,3.2094705796660152,0.6586237259662397,0.8208109121639738,1.9432427942722803,0.16916666666666666,0.16916666666666666,3.221014114628105,,-0.08224843693613824,,-0.08224843693613826,,-0.06324336796708703,,-0.07532192182550346,,-0.03724834914599905,,-0.13613665550941031,,-1.0
goemotions,gemma,0,GPP-cosine,4,1024,3.534923218528805,0.643692146888334,0.7757729893834244,1.3811801323270168,0.15958333333333333,0.15958333333333333,2.6211748123168945,0.027779866009950638,-0.11454283732241019,0.10722977010716767,-0.1145428373224102,0.10722977010716767,-0.09539297373776784,0.08956582545735425,-0.10243324188604983,0.1000460968500406,-0.06826304368108953,0.0637228315360976,-0.10123379753189973,0.12681701531743825,-1.0
goemotions,gemma,0,GPP-rbf,4,1024,3.355766409208188,0.6219793283890386,0.7602434642785617,1.3180003079465927,0.16541666666666666,0.16541666666666666,2.355682373046875,0.23332001268863678,-0.10993482159584245,0.09487170937155842,-0.10993482159584247,0.09487170937155842,-0.09778965659458766,0.07887491202771055,-0.099601999297486,0.09576521381094555,-0.07525830885298342,0.059905669688420066,-0.10409836371026879,0.13515564258773968,-0.7999999999999999
goemotions,gemma,0,GPP-laplace,4,1024,3.2905930213340557,0.6063026005040587,0.7455656651675235,1.2978334046653088,0.18875,0.18875,2.3906025886535645,0.18129251897335052,-0.0986844596687024,0.09209072703366097,-0.0986844596687024,0.09209072703366097,-0.08744214519608381,0.07747501757041622,-0.08837613626831115,0.09372402062248916,-0.06703131685873377,0.06146378311378203,-0.06716311755528745,0.13316367579569255,-0.7999999999999999
goemotions,gemma,0,LPE,4,1024,3.948960021765717,0.613471175296901,0.7368539338108997,1.0603085657094393,0.175,0.175,2.002399444580078,0.2876993715763092,-0.13044919771353636,0.1143754184470016,-0.13044919771353636,0.11437541844700158,-0.10943083252769548,0.09638683305833598,-0.11918916578837765,0.10725415199243227,-0.0806967120553817,0.07001506910522692,-0.1407580409681463,0.12999236294188693,-1.0
goemotions,gemma,0,LP-temp,4,1024,3.211692544385122,0.6582112600723379,0.8204032029606515,1.9365843425242004,0.1775,0.1775,3.2143556628800254,,-0.09226893674800424,,-0.09226893674800424,,-0.07706621626820451,,-0.08277033664707024,,-0.05305981264541219,,-0.13941407334943878,,-1.0
goemotions,gemma,12,GPP-cosine,2,1024,3.127821200006124,0.5684650626378652,0.7114519529909982,1.3386570442812966,0.205,0.205,2.6049258708953857,0.011502387933433056,-0.0825288997819096,0.12827537315351611,-0.08252889978190958,0.12827537315351611,-0.07703776806843673,0.10979615447228364,-0.07851555898035274,0.12546783078567386,-0.052563539471409196,0.0805325097656472,-0.09385970733886437,0.1256028124258114,-1.0
goemotions,gemma,12,GPP-rbf,2,1024,3.2698576252083513,0.6429196120985572,0.7927052243006862,1.671320225565956,0.11208333333333333,0.11208333333333333,2.4298315048217773,0.5190038681030273,0.02560478805380758,0.1600755526953395,0.02560478805380759,0.16007555269533946,0.019158962478659364,0.13514504443107972,0.03039382988114424,0.1505430291396848,0.01889888532515497,0.09978671396699482,-0.026903870823116027,0.1282459961790092,0.0
goemotions,gemma,12,GPP-laplace,2,1024,3.2123697695312425,0.6557837785312673,0.8143127078053658,1.9225447055619111,0.12208333333333334,0.12208333333333334,2.4671928882598877,0.7331230640411377,-0.06725030799067287,0.15605859669855776,-0.06725030799067286,0.1560585966985578,-0.054514406536681395,0.1351258956292139,-0.05735734006610593,0.14823289776246007,-0.03291547654175063,0.10361961928046526,-0.08552399828024579,0.12899653398087318,-1.0
goemotions,gemma,12,LPE,2,1024,3.960771776209745,0.6104503010901003,0.7346786473480591,1.0124804624819352,0.16666666666666666,0.16666666666666666,1.7801440954208374,0.48734334111213684,-0.14784561545587696,0.14301101584375078,-0.14784561545587696,0.14301101584375078,-0.12485319993738375,0.11934960380886366,-0.141769038896606,0.13786073797243198,-0.08946794214839929,0.08800164789865225,-0.12997096488267368,0.13360777519749586,-1.0
goemotions,gemma,12,LP-temp,2,1024,3.1838160590146596,0.6511815167307784,0.8139511663233682,1.9164256593897244,0.15916666666666668,0.15916666666666668,3.194196979745549,,-0.11473181081938383,,-0.11473181081938383,,-0.09655502947113151,,-0.11208153315973116,,-0.06743261484076485,,-0.12296465253531097,,-1.0
goemotions,gemma,12,GPP-cosine,4,1024,3.1194495816871863,0.5724400524063572,0.7159669015828695,1.3858332555571538,0.2075,0.2075,2.6517908573150635,0.01181369461119175,-0.029623375238452723,0.13141829882279432,-0.029623375238452723,0.13141829882279432,-0.026255483871332065,0.11341739788644457,-0.032678696694605394,0.12747037637883324,-0.019955574378427408,0.08322359004917199,-0.03219995964299894,0.12419059910119228,-0.7999999999999999
goemotions,gemma,12,GPP-rbf,4,1024,3.264190994750366,0.6403961762339523,0.7907038528630377,1.6523966422463154,0.11625,0.11625,2.4096968173980713,0.5198653936386108,0.09286977400603828,0.16073317699633988,0.0928697740060383,0.16073317699633988,0.08104490388887252,0.1351611562308505,0.08830300311481144,0.14967765544745565,0.06862573688182343,0.0981234611419288,0.05347549796418747,0.13382845597421206,1.0
goemotions,gemma,12,GPP-laplace,4,1024,3.202988148627525,0.6531363935899964,0.8118157677863685,1.9082272337057653,0.12166666666666667,0.12166666666666667,2.4555790424346924,0.7304194569587708,-0.006667518370513729,0.15976320216888135,-0.006667518370513733,0.15976320216888135,0.004534827417868858,0.13861115992714745,-0.001181366331315813,0.15062942545883648,0.020000890460311047,0.10598576457048961,-0.0403150926044101,0.1359399715160045,-0.6000000000000001
goemotions,gemma,12,LPE,4,1024,4.043994111213121,0.6145843789703347,0.7362913524142459,0.9771863095595518,0.16041666666666668,0.16041666666666668,1.7307417392730713,0.4920289218425751,-0.14659852760636158,0.14911385458360615,-0.1465985276063616,0.14911385458360618,-0.12321813186567457,0.12764482376482228,-0.14024432877424475,0.14199716868562492,-0.09032326707656953,0.0917604620365769,-0.12670418784869705,0.14061189604252158,-1.0
goemotions,gemma,12,LP-temp,4,1024,3.190717836931411,0.6548891698138596,0.8177858370815463,1.9335493721136685,0.15708333333333332,0.15708333333333332,3.211320692469494,,-0.13568980220279553,,-0.13568980220279556,,-0.11221067300997734,,-0.13034037920353128,,-0.07984719126980794,,-0.13397078479889257,,-1.0
goemotions,gemma,25,GPP-cosine,2,1024,3.131558159462498,0.5706053995059527,0.7143172797926444,1.3478643534739516,0.19958333333333333,0.19958333333333333,2.6080172061920166,0.01313220988959074,-0.05835428458048332,0.0540418214741738,-0.05835428458048332,0.0540418214741738,-0.06503196595724532,0.03991841696394916,-0.0617362063571288,0.04775386287551346,-0.05922193907279802,0.0204113403259858,-0.07551402392770316,0.12198508503121136,-0.7999999999999999
goemotions,gemma,25,GPP-rbf,2,1024,3.295106793190013,0.6562711145533254,0.8077344558928113,1.7399868062046144,0.09,0.09,2.424152135848999,0.5929732322692871,0.018816714021358667,0.17210833237677606,0.018816714021358656,0.17210833237677606,0.014668374497064053,0.1435844585540627,0.012897689288407031,0.15650470049148085,4.552649605149648e-05,0.10490360145341382,-0.01200387466224241,0.1546836316025706,0.7999999999999999
goemotions,gemma,25,GPP-laplace,2,1024,3.1213714586891523,0.6299304645346376,0.790924341113811,1.8605294758801332,0.18958333333333333,0.18958333333333333,2.4619526863098145,0.6762989163398743,-0.07159882919552941,0.16971559958056065,-0.07159882919552943,0.16971559958056065,-0.05689532514057915,0.14355549798279155,-0.06138588638690162,0.15650985299910586,-0.03959854511428245,0.10796726680505973,-0.07288232475285755,0.15001247247687907,-0.7999999999999999
goemotions,gemma,25,LPE,2,1024,3.9631943136803858,0.5914400543045613,0.7174280535154285,0.8989396937379501,0.18625,0.18625,1.633033275604248,0.48331940174102783,-0.15561387845055785,0.16475075249602472,-0.15561387845055788,0.16475075249602472,-0.12523728211155402,0.13263826274091886,-0.14005681166596706,0.151618227079334,-0.08818871452118461,0.09932894367668287,-0.110239713036492,0.1337944931344447,-1.0
goemotions,gemma,25,LP-temp,2,1024,3.132625552764772,0.6305247253198712,0.7920001906781596,1.8364348820945846,0.17541666666666667,0.17541666666666667,3.1142062024504096,,-0.13520472201582812,,-0.13520472201582812,,-0.10620746782727736,,-0.12677485160621418,,-0.07074123236256528,,-0.1075649217542641,,-1.0
goemotions,gemma,25,GPP-cosine,4,1024,3.1109186251061023,0.5699914479588102,0.7154294246232457,1.3805431308541876,0.20541666666666666,0.20541666666666666,2.6389925479888916,0.013690085150301456,-0.020319278691200985,0.06478219341715977,-0.02031927869120099,0.06478219341715977,-0.028297867374791136,0.05412345398995326,-0.024165220103603884,0.061754194125527434,-0.024551026427311266,0.037991885748501125,0.0008010910792534006,0.12354838341448385,-0.19999999999999998
goemotions,gemma,25,GPP-rbf,4,1024,3.2685734708415546,0.6469270344375402,0.8000398118860297,1.7073638238280144,0.09458333333333334,0.09458333333333334,2.392230272293091,0.5918265581130981,0.09732545023203626,0.17504728305871198,0.09732545023203626,0.17504728305871203,0.09248896009316043,0.14619711410350028,0.10490821434405098,0.1598912288023009,0.09857713911219469,0.10780053527109987,0.0370330465355966,0.16046191828367767,0.7999999999999999
goemotions,gemma,25,GPP-laplace,4,1024,3.1017354833955855,0.6231294100944997,0.7845579523794974,1.8382075989540885,0.20208333333333334,0.20208333333333334,2.4407567977905273,0.6752220392227173,-0.008975877223459564,0.17517567074204937,-0.008975877223459564,0.17517567074204937,-6.766070065199366e-06,0.1480880131475251,0.008057618628904722,0.16237906569863803,0.025774376689032374,0.11242432531405855,-0.05261238232310844,0.15580050413879468,-0.7999999999999999
goemotions,gemma,25,LPE,4,1024,3.9491214341718015,0.5890390277377523,0.7155801990029311,0.8753685649552131,0.18375,0.18375,1.5768824815750122,0.5129007697105408,-0.15801197495979533,0.15401527038327983,-0.15801197495979533,0.15401527038327983,-0.12737768488434498,0.11889831698699654,-0.1430563582356028,0.13788057912476995,-0.09011612245295197,0.08239646945614172,-0.11140148960026695,0.1284354367635278,-1.0
goemotions,gemma,25,LP-temp,4,1024,3.1197404358444034,0.6355285773384917,0.8005170044890115,1.8918014039803597,0.18291666666666667,0.18291666666666667,3.1695727243361844,,-0.141620544168981,,-0.141620544168981,,-0.11518261753938636,,-0.1317441613450791,,-0.0804364330770737,,-0.11581963413511968,,-1.0
