dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,llama,0,27,0,GPP neg-latent-var,0.5263320649989953,0.17352320675105484
goemotions,llama,0,27,0,GPP -MI,0.524691706851517,0.17352320675105484
goemotions,llama,0,27,0,Maha,0.5171073395954725,0.17352320675105484
goemotions,llama,0,27,0,MSP,0.5164951485165092,0.17352320675105484
goemotions,llama,0,27,0,kNN,0.510829503214788,0.17352320675105484
goemotions,llama,0,27,0,LPE -var,0.5290037296564195,0.17352320675105484
goemotions,llama,0,27,1,GPP neg-latent-var,0.527824346158998,0.20411392405063292
goemotions,llama,0,27,1,GPP -MI,0.526742808586163,0.20411392405063292
goemotions,llama,0,27,1,Maha,0.5153209974214721,0.20411392405063292
goemotions,llama,0,27,1,MSP,0.5052622270778916,0.20411392405063292
goemotions,llama,0,27,1,kNN,0.5145717174000402,0.20411392405063292
goemotions,llama,0,27,1,LPE -var,0.5453351039783001,0.20411392405063292
goemotions,llama,0,27,2,GPP neg-latent-var,0.5267077514901882,0.169831223628692
goemotions,llama,0,27,2,GPP -MI,0.5245776404795393,0.169831223628692
goemotions,llama,0,27,2,Maha,0.5130783897595607,0.169831223628692
goemotions,llama,0,27,2,MSP,0.49891741594668815,0.169831223628692
goemotions,llama,0,27,2,kNN,0.5169367632777442,0.169831223628692
goemotions,llama,0,27,2,LPE -var,0.5391430789967182,0.169831223628692
goemotions,llama,0,3,0,GPP neg-latent-var,0.4666610729868108,0.24134705332086062
goemotions,llama,0,3,0,GPP -MI,0.4646437778047544,0.24134705332086062
goemotions,llama,0,3,0,Maha,0.47129906668856536,0.24134705332086062
goemotions,llama,0,3,0,MSP,0.4812016652503945,0.24134705332086062
goemotions,llama,0,3,0,kNN,0.478104313798299,0.24134705332086062
goemotions,llama,0,3,0,LPE -var,0.47244874642063994,0.24134705332086062
goemotions,llama,0,3,1,GPP neg-latent-var,0.4660130392247874,0.2380729653882133
goemotions,llama,0,3,1,GPP -MI,0.46742871628617744,0.2380729653882133
goemotions,llama,0,3,1,Maha,0.479466434350431,0.2380729653882133
goemotions,llama,0,3,1,MSP,0.5421686101728804,0.2380729653882133
goemotions,llama,0,3,1,kNN,0.47710280707517194,0.2380729653882133
goemotions,llama,0,3,1,LPE -var,0.5226062025578588,0.2380729653882133
goemotions,llama,0,3,2,GPP neg-latent-var,0.4658363027442355,0.23900841908325537
goemotions,llama,0,3,2,GPP -MI,0.46686637293896693,0.23900841908325537
goemotions,llama,0,3,2,Maha,0.4731414106070452,0.23900841908325537
goemotions,llama,0,3,2,MSP,0.5058412299430872,0.23900841908325537
goemotions,llama,0,3,2,kNN,0.475990616899578,0.23900841908325537
goemotions,llama,0,3,2,LPE -var,0.5084476467269832,0.23900841908325537
goemotions,llama,0,0,0,GPP neg-latent-var,0.511618867092215,0.23140118667275217
goemotions,llama,0,0,0,GPP -MI,0.5141171255178318,0.23140118667275217
goemotions,llama,0,0,0,Maha,0.5144621647059852,0.23140118667275217
goemotions,llama,0,0,0,MSP,0.5104024947643578,0.23140118667275217
goemotions,llama,0,0,0,kNN,0.4955963827663845,0.23140118667275217
goemotions,llama,0,0,0,LPE -var,0.4502608539938286,0.23140118667275217
goemotions,llama,0,0,1,GPP neg-latent-var,0.5137000211827856,0.22957553628480146
goemotions,llama,0,0,1,GPP -MI,0.5135056636654081,0.22957553628480146
goemotions,llama,0,0,1,Maha,0.5343237559481043,0.22957553628480146
goemotions,llama,0,0,1,MSP,0.5235052487448654,0.22957553628480146
goemotions,llama,0,0,1,kNN,0.49705297225055084,0.22957553628480146
goemotions,llama,0,0,1,LPE -var,0.5067359074421458,0.22957553628480146
goemotions,llama,0,0,2,GPP neg-latent-var,0.510481111288241,0.23003194888178913
goemotions,llama,0,0,2,GPP -MI,0.5123482537304632,0.23003194888178913
goemotions,llama,0,0,2,Maha,0.5304628111085148,0.23003194888178913
goemotions,llama,0,0,2,MSP,0.5387546705858459,0.23003194888178913
goemotions,llama,0,0,2,kNN,0.5003111904070371,0.23003194888178913
goemotions,llama,0,0,2,LPE -var,0.521275596775849,0.23003194888178913
goemotions,llama,0,4,0,GPP neg-latent-var,0.5247896845787124,0.23967317294598275
goemotions,llama,0,4,0,GPP -MI,0.5255592857916409,0.23967317294598275
goemotions,llama,0,4,0,Maha,0.5386816777306442,0.23967317294598275
goemotions,llama,0,4,0,MSP,0.4929987027380752,0.23967317294598275
goemotions,llama,0,4,0,kNN,0.531142350878244,0.23967317294598275
goemotions,llama,0,4,0,LPE -var,0.5383694592745011,0.23967317294598275
goemotions,llama,0,4,1,GPP neg-latent-var,0.5221490768241739,0.2342260553790286
goemotions,llama,0,4,1,GPP -MI,0.5243380623100479,0.2342260553790286
goemotions,llama,0,4,1,Maha,0.5235684610971195,0.2342260553790286
goemotions,llama,0,4,1,MSP,0.5113977017956592,0.2342260553790286
goemotions,llama,0,4,1,kNN,0.5335963188176713,0.2342260553790286
goemotions,llama,0,4,1,LPE -var,0.5236859750547823,0.2342260553790286
goemotions,llama,0,4,2,GPP neg-latent-var,0.5225776571403555,0.2292328642759873
goemotions,llama,0,4,2,GPP -MI,0.5192434866160819,0.2292328642759873
goemotions,llama,0,4,2,Maha,0.5292321730174128,0.2292328642759873
goemotions,llama,0,4,2,MSP,0.48901014076328764,0.2292328642759873
goemotions,llama,0,4,2,kNN,0.5322161058639464,0.2292328642759873
goemotions,llama,0,4,2,LPE -var,0.5302598440981495,0.2292328642759873
goemotions,llama,0,2,0,GPP neg-latent-var,0.5545868740313185,0.2345679012345679
goemotions,llama,0,2,0,GPP -MI,0.5491756186200631,0.2345679012345679
goemotions,llama,0,2,0,Maha,0.5782227032227032,0.2345679012345679
goemotions,llama,0,2,0,MSP,0.44295133878467213,0.2345679012345679
goemotions,llama,0,2,0,kNN,0.5434002725669392,0.2345679012345679
goemotions,llama,0,2,0,LPE -var,0.5222562930896264,0.2345679012345679
goemotions,llama,0,2,1,GPP neg-latent-var,0.5536950189727967,0.2261904761904762
goemotions,llama,0,2,1,GPP -MI,0.5446495377050933,0.2261904761904762
goemotions,llama,0,2,1,Maha,0.5668824488268933,0.2261904761904762
goemotions,llama,0,2,1,MSP,0.42943656138100583,0.2261904761904762
goemotions,llama,0,2,1,kNN,0.5440750093527872,0.2261904761904762
goemotions,llama,0,2,1,LPE -var,0.5251322751322751,0.2261904761904762
goemotions,llama,0,2,2,GPP neg-latent-var,0.5506119395008284,0.22839506172839505
goemotions,llama,0,2,2,GPP -MI,0.5433000641333975,0.22839506172839505
