dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,qwen,0,27,0,GPP neg-latent-var,0.5387841361931551,0.17668776371308018
goemotions,qwen,0,27,0,GPP -MI,0.536894715692184,0.17668776371308018
goemotions,qwen,0,27,0,Maha,0.5262054408612953,0.17668776371308018
goemotions,qwen,0,27,0,MSP,0.47761002695733706,0.17668776371308018
goemotions,qwen,0,27,0,kNN,0.5212859361395754,0.17668776371308018
goemotions,qwen,0,27,0,LPE -var,0.5432034232469359,0.17668776371308018
goemotions,qwen,0,27,1,GPP neg-latent-var,0.5397280615832831,0.1940928270042194
goemotions,qwen,0,27,1,GPP -MI,0.5377235282298574,0.1940928270042194
goemotions,qwen,0,27,1,Maha,0.5215046505592392,0.1940928270042194
goemotions,qwen,0,27,1,MSP,0.49507264667470363,0.1940928270042194
goemotions,qwen,0,27,1,kNN,0.522539619750854,0.1940928270042194
goemotions,qwen,0,27,1,LPE -var,0.5566036057531312,0.1940928270042194
goemotions,qwen,0,27,2,GPP neg-latent-var,0.5393147017949234,0.17352320675105484
goemotions,qwen,0,27,2,GPP -MI,0.5362333400308084,0.17352320675105484
goemotions,qwen,0,27,2,Maha,0.5238330696202531,0.17352320675105484
goemotions,qwen,0,27,2,MSP,0.48183780808385235,0.17352320675105484
goemotions,qwen,0,27,2,kNN,0.5244693297501841,0.17352320675105484
goemotions,qwen,0,27,2,LPE -var,0.5332011628491059,0.17352320675105484
goemotions,qwen,0,3,0,GPP neg-latent-var,0.45976745763680116,0.24368568755846587
goemotions,qwen,0,3,0,GPP -MI,0.4584562157684645,0.24368568755846587
goemotions,qwen,0,3,0,Maha,0.4748123736958989,0.24368568755846587
goemotions,qwen,0,3,0,MSP,0.5060322481594414,0.24368568755846587
goemotions,qwen,0,3,0,kNN,0.4755425274387849,0.24368568755846587
goemotions,qwen,0,3,0,LPE -var,0.4779775633930548,0.24368568755846587
goemotions,qwen,0,3,1,GPP neg-latent-var,0.45847228272124196,0.2380729653882133
goemotions,qwen,0,3,1,GPP -MI,0.4614455615935561,0.2380729653882133
goemotions,qwen,0,3,1,Maha,0.4749516206199701,0.2380729653882133
goemotions,qwen,0,3,1,MSP,0.502883125415063,0.2380729653882133
goemotions,qwen,0,3,1,kNN,0.4751926249116317,0.2380729653882133
goemotions,qwen,0,3,1,LPE -var,0.48519519562407615,0.2380729653882133
goemotions,qwen,0,3,2,GPP neg-latent-var,0.458420511428959,0.245088868101029
goemotions,qwen,0,3,2,GPP -MI,0.45963713679760637,0.245088868101029
goemotions,qwen,0,3,2,Maha,0.47480166239404736,0.245088868101029
goemotions,qwen,0,3,2,MSP,0.535997115089368,0.245088868101029
goemotions,qwen,0,3,2,kNN,0.47386799391598056,0.245088868101029
goemotions,qwen,0,3,2,LPE -var,0.5039756782039289,0.245088868101029
goemotions,qwen,0,0,0,GPP neg-latent-var,0.5232453774575854,0.22181652213601094
goemotions,qwen,0,0,0,GPP -MI,0.5246113395600531,0.22181652213601094
goemotions,qwen,0,0,0,Maha,0.5267809372399922,0.22181652213601094
goemotions,qwen,0,0,0,MSP,0.509269106545044,0.22181652213601094
goemotions,qwen,0,0,0,kNN,0.50761597575117,0.22181652213601094
goemotions,qwen,0,0,0,LPE -var,0.47918081582113864,0.22181652213601094
goemotions,qwen,0,0,1,GPP neg-latent-var,0.5246189828332084,0.2327704244637152
goemotions,qwen,0,0,1,GPP -MI,0.5246342693795191,0.2327704244637152
goemotions,qwen,0,0,1,Maha,0.5353959979821759,0.2327704244637152
goemotions,qwen,0,0,1,MSP,0.5188625062511055,0.2327704244637152
goemotions,qwen,0,0,1,kNN,0.5085419036991259,0.2327704244637152
goemotions,qwen,0,0,1,LPE -var,0.5153597033536499,0.2327704244637152
goemotions,qwen,0,0,2,GPP neg-latent-var,0.5218848748359426,0.23322683706070288
goemotions,qwen,0,0,2,GPP -MI,0.5214590353315761,0.23322683706070288
goemotions,qwen,0,0,2,Maha,0.5241844081595216,0.23322683706070288
goemotions,qwen,0,0,2,MSP,0.49275963652960453,0.23322683706070288
goemotions,qwen,0,0,2,kNN,0.5089109646029102,0.23322683706070288
goemotions,qwen,0,0,2,LPE -var,0.49247574352669354,0.23322683706070288
goemotions,qwen,0,4,0,GPP neg-latent-var,0.5071280280005807,0.24285065819337268
goemotions,qwen,0,4,0,GPP -MI,0.5073964667470063,0.24285065819337268
goemotions,qwen,0,4,0,Maha,0.5119069289455311,0.24285065819337268
goemotions,qwen,0,4,0,MSP,0.47600756697719543,0.24285065819337268
goemotions,qwen,0,4,0,kNN,0.513989921449984,0.24285065819337268
goemotions,qwen,0,4,0,LPE -var,0.5354558043830402,0.24285065819337268
goemotions,qwen,0,4,1,GPP neg-latent-var,0.5050703816438591,0.23241034952337722
goemotions,qwen,0,4,1,GPP -MI,0.5080243599521649,0.23241034952337722
goemotions,qwen,0,4,1,Maha,0.5058146367090561,0.23241034952337722
goemotions,qwen,0,4,1,MSP,0.4833856001622153,0.23241034952337722
goemotions,qwen,0,4,1,kNN,0.5169807668822626,0.23241034952337722
goemotions,qwen,0,4,1,LPE -var,0.48491097741658234,0.23241034952337722
goemotions,qwen,0,4,2,GPP neg-latent-var,0.5050266019341415,0.2342260553790286
goemotions,qwen,0,4,2,GPP -MI,0.5015991115023122,0.2342260553790286
goemotions,qwen,0,4,2,Maha,0.5055865213794756,0.2342260553790286
goemotions,qwen,0,4,2,MSP,0.5034528365795604,0.2342260553790286
goemotions,qwen,0,4,2,kNN,0.5154646064088886,0.2342260553790286
goemotions,qwen,0,4,2,LPE -var,0.5051441158918042,0.2342260553790286
goemotions,qwen,0,2,0,GPP neg-latent-var,0.5622027149804927,0.23412698412698413
