dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAlea_bern_var,corrMI_bern_var,corrAleaS_entropy,corrMIS_entropy,mono_alea
lewidi_armis,llama,0,GPP-cosine,0,16,0.6801835686135701,0.19946222453580867,0.36891105082528347,0.4541121876508156,0.5724137931034483,0.5724137931034483,0.6722863912582397,0.013629033230245113,0.08338439049067964,-0.10486056155481774,0.08338439049067967,-0.10486056155481775,0.08338439049067964,-0.10486056155481774,0.08338439049067967,-0.10486056155481774,0.08338439049067967,-0.10486056155481774,0.08338439033085758,-0.10486056223799461,0.09306149062960511,-0.07937597730172202,
lewidi_armis,llama,0,GPP-rbf,0,16,0.7159346024847371,0.2074810519669222,0.37498985523807593,0.42291448189494785,0.5586206896551724,0.5586206896551724,0.46682044863700867,0.1726260781288147,-0.03708585448772074,-0.09986872855913495,-0.03708585448772077,-0.09986872855913495,-0.03708585448772074,-0.09986872855913494,-0.03708585448772076,-0.09986872855913496,-0.03708585448772076,-0.09986872855913496,-0.03708585100891173,-0.09986872612621867,-0.052004950645955804,-0.10400990129191161,
lewidi_armis,llama,0,GPP-laplace,0,16,0.6915860318336897,0.20397848058066773,0.3762680388730148,0.4545844952274799,0.5655172413793104,0.5655172413793104,0.4364972412586212,0.24989044666290283,-0.1933876869925563,0.07759527976570238,-0.19338768699255626,0.07759527976570235,-0.19338768699255626,0.07759527976570238,-0.19338768699255632,0.0775952797657024,-0.19338768699255632,0.0775952797657024,-0.19338768621272462,0.07759528395450208,-0.16114691943582357,0.07834956380213078,
lewidi_armis,llama,0,LPE,0,16,0.8342093587184208,0.22855869969088444,0.3861404707591081,0.37582609973006537,0.5517241379310345,0.5517241379310345,0.41577616333961487,0.09615494310855865,-0.008449400008232605,-0.03302605618929384,-0.008449400008232605,-0.03302605618929387,-0.008449400008232612,-0.03302605618929385,-0.008449400008232612,-0.03302605618929387,-0.008449400008232612,-0.03302605618929387,-0.008449395358789587,-0.03302605138352867,-0.005474205331153242,-0.05474205331153243,
lewidi_armis,llama,0,LP-temp,0,16,0.6877039440306306,0.20202788621118167,0.3750069251582063,0.4519352608797803,0.5310344827586206,0.5310344827586206,0.6835772561397544,,-0.035520761886662804,,-0.03552076188666278,,-0.03552076188666278,,-0.0355207618866628,,-0.0355207618866628,,-0.03552075781981141,,-0.049267847980379184,,
lewidi_armis,llama,0,GPP-cosine,0,64,0.6732689035849939,0.19637548632800672,0.36227338139353127,0.44995598340706494,0.5862068965517241,0.5862068965517241,0.6729028224945068,0.008856477215886116,-0.03874150038416917,-0.11320643393236215,-0.03874150038416915,-0.11320643393236215,-0.03874150038416914,-0.11320643393236215,-0.03874150038416916,-0.11320643393236218,-0.03874150038416916,-0.11320643393236218,-0.038741502630973326,-0.11320643492428671,-0.12214320645135672,-0.0964828689615759,
lewidi_armis,llama,0,GPP-rbf,0,64,0.6878681998225402,0.1950399316591141,0.3560882271106901,0.418775096066109,0.5655172413793104,0.5655172413793104,0.4660584032535553,0.15065394341945648,-0.05984554074628255,-0.10788600297501316,-0.05984554074628254,-0.10788600297501313,-0.05984554074628254,-0.10788600297501316,-0.05984554074628254,-0.10788600297501316,-0.05984554074628254,-0.10788600297501316,-0.05984554381877176,-0.10788600333535042,-0.07150680713818923,-0.11974824161897718,
lewidi_armis,llama,0,GPP-laplace,0,64,0.6881304251428334,0.20115300602678368,0.3667718441321932,0.44139253029385767,0.5724137931034483,0.5724137931034483,0.42913585901260376,0.2436615526676178,-0.17890512161424452,-0.03213610094168521,-0.17890512161424454,-0.032136100941685196,-0.17890512161424452,-0.03213610094168521,-0.17890512161424457,-0.032136100941685224,-0.17890512161424457,-0.032136100941685224,-0.17890512183501678,-0.032136098613641834,-0.19980849458709335,-0.019843994325430506,
lewidi_armis,llama,0,LPE,0,64,0.7853365738737101,0.21141473430434327,0.36547148205934027,0.38622176637434996,0.5793103448275863,0.5793103448275863,0.39884164929389954,0.11338403820991516,-0.039842281511070526,-0.05601758610497473,-0.03984228151107051,-0.05601758610497472,-0.03984228151107052,-0.05601758610497471,-0.03984228151107051,-0.05601758610497473,-0.03984228151107051,-0.05601758610497473,-0.039842284098479744,-0.05601758792028291,-0.05884770730989736,-0.06842756663941553,
lewidi_armis,llama,0,LP-temp,0,64,0.6825785731264821,0.19539113501706654,0.3541185602309644,0.42396394798230447,0.6068965517241379,0.6068965517241379,0.6446966932068522,,0.04322855959582439,,0.0432285595958244,,0.04322855959582439,,0.04322855959582441,,0.04322855959582441,,0.043228557396284895,,-0.004105653998364931,,
