dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAlea_bern_var,corrMI_bern_var,corrAleaS_entropy,corrMIS_entropy,mono_alea
lewidi_convabuse,gemma,0,GPP-cosine,0,16,0.953660618956061,0.31671674611230505,0.45665319908855184,0.43775905671389526,0.5059523809523809,0.5047619047619047,0.33789828419685364,0.14719070494174957,0.052103162012824236,0.05294531289323104,0.05210316201282425,0.052945312893231046,0.051554559965155636,0.05375722109678961,0.05184002753314482,0.052811701758680746,0.051554560159521895,0.05375722108734603,0.05184002811926884,0.05281170199085146,0.055229466768087,0.06152159913656211,
lewidi_convabuse,gemma,0,GPP-rbf,0,16,0.5272406134919492,0.13154562867444372,0.19207030086822452,0.22673952843843306,0.8464285714285714,0.8214285714285714,0.17783282697200775,0.023260289803147316,0.15517562895935608,0.0896379860228928,0.1551756289593561,0.0896379860228928,0.14419753143520136,0.0852937384568663,0.15459891358837488,0.08943795766749141,0.14419753161211057,0.0852937387533535,0.15459891361382622,0.0894379578946618,0.1596591369507427,0.13834387296675243,
lewidi_convabuse,gemma,0,GPP-laplace,0,16,0.4965195760006012,0.1845966035516001,0.32474329332776725,0.5247480111715149,0.844047619047619,0.8214285714285714,0.38385123014450073,0.2180500626564026,0.1347799293662788,0.12254404752878259,0.13477992936627886,0.12254404752878263,0.1281294364562175,0.11550956961137818,0.13455437513442123,0.12206584451320314,0.12812943670385046,0.1155095698735534,0.1345543754655163,0.12206584477442864,0.1316043097924709,0.11245363240993696,
lewidi_convabuse,gemma,0,LPE,0,16,0.8587753022863036,0.13817389099139527,0.16886979333364815,0.10644446456177496,0.8464285714285714,0.8214285714285714,0.033044666051864624,0.0017837721388787031,0.18833876093659407,0.17177541236711308,0.1883387609365941,0.1717754123671131,0.16839596182712097,0.15207495909704155,0.18739894075423635,0.17079869511244966,0.1683959613568055,0.15207495867289006,0.18739893988808148,0.17079869432524877,0.12074866336150565,0.1198594902982409,
lewidi_convabuse,gemma,0,LP-temp,0,16,0.4446462579841331,0.13654220748971024,0.22899745537200694,0.3566777435019135,0.8464285714285714,0.8214285714285714,0.37757038620632005,,0.17619591244143784,,0.17619591244143784,,0.15961680947271523,,0.1754348958059512,,0.15961680901392733,,0.1754348949713942,,0.12241668923208304,,
lewidi_convabuse,gemma,0,GPP-cosine,0,64,0.9626643987463789,0.19825994400499505,0.28063336769815733,0.2873476430586012,0.7392857142857143,0.7285714285714285,0.22742688655853271,0.06696155667304993,0.10477907550697071,0.09091307735180398,0.10477907550697071,0.09091307735180398,0.10414443999634185,0.08818239909333665,0.10566398915450945,0.09117965705286038,0.10414443959098488,0.08818239878251107,0.10566398862693463,0.09117965659283739,0.1002211352032695,0.09489687602490514,
lewidi_convabuse,gemma,0,GPP-rbf,0,64,0.4246346057050875,0.12910850124713602,0.21789511867377553,0.33297858836787236,0.8488095238095238,0.8238095238095238,0.2689739763736725,0.08920394629240036,0.14820756599825635,0.14400732009705497,0.14820756599825635,0.14400732009705497,0.13996584957388075,0.13458429257298105,0.14745905904505346,0.14304402334624555,0.13996584966427295,0.13458429293382967,0.14745905921913896,0.1430440237913438,0.14664264503570323,0.14913224761575125,
lewidi_convabuse,gemma,0,GPP-laplace,0,64,0.4654096419912818,0.16646583745565244,0.2918941183769632,0.47086137559874647,0.8428571428571429,0.8202380952380952,0.34409669041633606,0.19328317046165466,0.13371552835844197,0.1278866341971592,0.133715528358442,0.12788663419715923,0.12471240519852184,0.11845785167876918,0.13315097412972926,0.12714085233929778,0.1247124053831077,0.11845785188712864,0.133150974387595,0.12714085257638563,0.13265826284782517,0.12214476637140703,
lewidi_convabuse,gemma,0,LPE,0,64,0.5469013605945581,0.12015051183825241,0.17341048725862665,0.18867890604694218,0.8464285714285714,0.8214285714285714,0.1275927722454071,0.03163062036037445,0.11674720615121306,0.1303865088088853,0.11674720615121309,0.1303865088088853,0.10977744520233641,0.12018450882218044,0.11573372426198028,0.12973759055574502,0.10977744498431272,0.1201845090616446,0.11573372398576355,0.12973759111970987,0.10025620604338559,0.10877032297863125,
lewidi_convabuse,gemma,0,LP-temp,0,64,0.4333976724932491,0.14880485636378216,0.2651983476865387,0.4487790319343662,0.8511904761904762,0.8285714285714286,0.5000890797020116,,0.07269313961208304,,0.07269313961208305,,0.06928682515670195,,0.07206574305508172,,0.06928682476787124,,0.07206574263937689,,0.08456018578092803,,
