dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAlea_bern_var,corrMI_bern_var,corrAleaS_entropy,corrMIS_entropy,mono_alea
lewidi_convabuse,qwen,0,GPP-cosine,0,16,0.46297474388466925,0.13561162633642646,0.21983784240714851,0.3244939360841218,0.8464285714285714,0.8214285714285714,0.32186076045036316,0.00784385297447443,0.08266211953715226,0.04265502034371724,0.08266211953715229,0.04265502034371724,0.07896192214666006,0.04495033085276989,0.08293152286877914,0.04339105548461432,0.07896192236971938,0.044950331341029104,0.08293152314568446,0.04339105601681673,0.10836223424336541,0.05548709222817082,
lewidi_convabuse,qwen,0,GPP-rbf,0,16,0.5202573251209189,0.1318329263362897,0.19412522706025767,0.23363230819147077,0.8464285714285714,0.8214285714285714,0.1864635944366455,0.02408573217689991,0.14867186315554237,0.07972983106203889,0.1486718631555424,0.0797298310620389,0.14279752226461506,0.07997708720672159,0.14858072642970155,0.08010294565206902,0.14279752263339537,0.07997708752970822,0.14858072684587093,0.08010294595106518,0.1760737934051163,0.14983398898990066,
lewidi_convabuse,qwen,0,GPP-laplace,0,16,0.49391471524262504,0.1830904511612221,0.3225462892092764,0.5215567975460722,0.8404761904761905,0.8178571428571428,0.38137125968933105,0.21622665226459503,0.1321587082905028,0.1211213905141548,0.13215870829050283,0.12112139051415483,0.1247312388494154,0.11331249776882822,0.13182324534572296,0.12054378835286184,0.12473123904422198,0.11331249798048525,0.13182324551601418,0.12054378845995387,0.13433467633773868,0.12149774097431155,
lewidi_convabuse,qwen,0,LPE,0,16,0.8196684556335696,0.13783690490941114,0.16995906315811832,0.11174975438652261,0.844047619047619,0.819047619047619,0.0398956723511219,0.00231719296425581,0.1855112732140105,0.14562651532643564,0.18551127321401054,0.1456265153264356,0.1663745835895717,0.12841831980981497,0.18453759123622693,0.14464165491046907,0.16637458325562723,0.12841831956630592,0.18453759066818198,0.14464165445246477,0.1219392953217644,0.12022663228351854,
lewidi_convabuse,qwen,0,LP-temp,0,16,0.4409306531811568,0.13998786253428158,0.2395863995296267,0.3827771905182306,0.844047619047619,0.819047619047619,0.4119839910521041,,0.1500545045664256,,0.1500545045664256,,0.1397162840300628,,0.14973981828218205,,0.13971628397441466,,0.14973981828858907,,0.11512496104802443,,
lewidi_convabuse,qwen,0,GPP-cosine,0,64,0.4429738601099005,0.15568542525882698,0.2787674465127999,0.4666036333454043,0.8297619047619048,0.8047619047619048,0.5171942114830017,0.00763386907055974,0.11109792995338705,0.023343133775187458,0.11109792995338708,0.023343133775187465,0.10410424563976464,0.027297336529474983,0.11030925569333336,0.02382290113126463,0.10410424568904926,0.027297337075713028,0.11030925578833231,0.023822901751156478,0.13356737145439995,0.06683907714862038,
lewidi_convabuse,qwen,0,GPP-rbf,0,64,0.43818320409677547,0.1311498154290349,0.2178398574186888,0.32664576202640566,0.844047619047619,0.8214285714285714,0.26308825612068176,0.08616835623979568,0.13960422095127276,0.14306133468329632,0.13960422095127278,0.14306133468329635,0.12686175337399475,0.13150112566130417,0.13866734495384025,0.14204690268110662,0.1268617534081105,0.1315011259483872,0.13866734487928506,0.14204690288749638,0.13525603326012603,0.14465998948501957,
lewidi_convabuse,qwen,0,GPP-laplace,0,64,0.465612083331656,0.16543461350468674,0.2898009472992271,0.46674200643165803,0.8404761904761905,0.8178571428571428,0.33981141448020935,0.19092966616153717,0.12814371854662115,0.12255961477861163,0.12814371854662118,0.12255961477861163,0.11707927566049796,0.11116177143798968,0.12731573234593935,0.12156421452967191,0.1170792758566408,0.1111617716584837,0.1273157325132215,0.12156421467839781,0.1341294786117404,0.12442004904882648,
lewidi_convabuse,qwen,0,LPE,0,64,0.5999211861189158,0.1257512615933356,0.17699147245427108,0.18064146077771068,0.844047619047619,0.819047619047619,0.11445481330156326,0.027673162519931793,0.08142592625041356,0.08721884983329571,0.08142592625041359,0.08721884983329573,0.07023933406343032,0.07969472876853889,0.0802447332941422,0.08712573885448373,0.07023933364804122,0.07969472940433864,0.08024473251009182,0.08712574012791183,0.0892252566600232,0.09619121722546818,
lewidi_convabuse,qwen,0,LP-temp,0,64,0.4412753565129725,0.14155259268053694,0.2446352809440841,0.3945473592773477,0.8404761904761905,0.8178571428571428,0.42778677341175697,,0.058972494139563555,,0.05897249413956354,,0.04915361125845757,,0.057874457699773535,,0.04915361052322347,,0.05787445638992504,,0.07198693940339079,,
