K,rep,n_obs,method,acc,brier,ece,mi
2,0,32,GPP-cosine,0.946,0.07119007796918185,0.06543848314881325,0.01850355602800846
2,0,32,GPP-rbf,0.9565,0.08449779101063591,0.0909279099404812,0.06212984398007393
2,0,32,LPE,0.979,0.07819240923566771,0.11707925394177436,0.04912985861301422
2,0,32,LP,0.982,0.05555080994783846,0.0822295452187736,
2,0,32,SVM,0.951,0.07047140316571351,0.04192819255922661,
2,0,128,GPP-cosine,0.971,0.04445873015104488,0.03868522331118584,0.0035166062880307436
2,0,128,GPP-rbf,0.9855,0.020872410972468537,0.029872900158166883,0.011490466073155403
2,0,128,LPE,0.984,0.02654771131273898,0.034770947307348254,0.006369655020534992
2,0,128,LP,0.9855,0.023501939007697863,0.03145881158026524,
2,0,128,SVM,0.9825,0.03151985630186963,0.02597621727905735,
2,0,512,GPP-cosine,0.9875,0.030421458875313185,0.04389990678429603,0.0007223031716421247
2,0,512,GPP-rbf,1.0,0.0013400247583416974,0.014903173446655274,0.0019449351821094751
2,0,512,LPE,0.9955,0.009499563171455073,0.01618315687775612,0.001972148660570383
2,0,512,LP,0.9955,0.00846375903554193,0.014789892933952779,
2,0,512,SVM,1.0,0.0019170972204085794,0.009965155384776369,
2,1,32,GPP-cosine,0.9535,0.07017541595839856,0.06326965925097465,0.018642891198396683
2,1,32,GPP-rbf,0.9855,0.06518354837146516,0.11030335804820061,0.06609674543142319
2,1,32,LPE,0.956,0.08410786651216806,0.08917731413245202,0.02811049111187458
2,1,32,LP,0.9595,0.07343302427790104,0.08020476827839668,
2,1,32,SVM,0.95,0.10852372429405313,0.0989977977092891,
2,1,128,GPP-cosine,0.9855,0.036755058509371025,0.05676508322358132,0.003817288437858224
2,1,128,GPP-rbf,0.999,0.008979685668386925,0.036485965490341186,0.01174008846282959
2,1,128,LPE,0.9865,0.02450231305165036,0.03450364530086517,0.008072063326835632
2,1,128,LP,0.9865,0.022076480148185296,0.03021322907256884,
2,1,128,SVM,0.9975,0.012998079147181863,0.03693358281755855,
2,1,512,GPP-cosine,0.995,0.02597979529147536,0.058724880039691923,0.0007801483734510839
2,1,512,GPP-rbf,1.0,0.0006852992714876212,0.013250062882900239,0.0015993344131857157
2,1,512,LPE,0.9995,0.00627777382760356,0.018950160503387454,0.002307877177372575
2,1,512,LP,0.9995,0.005351899057698465,0.017297863093987585,
2,1,512,SVM,1.0,0.0020800017094546167,0.011026376306091715,
2,2,32,GPP-cosine,0.958,0.06610764109087316,0.07412424877285957,0.019061492756009102
2,2,32,GPP-rbf,0.9925,0.06211849586784882,0.11476801440119744,0.06209760904312134
2,2,32,LPE,0.9715,0.07087935173286636,0.09909863060712813,0.039459601044654846
2,2,32,LP,0.9665,0.059495218939356095,0.06528207231697694,
2,2,32,SVM,0.8985,0.14281782627756842,0.0672550183974897,
2,2,128,GPP-cosine,0.988,0.03545090176707769,0.05616238364577293,0.003569655353203416
2,2,128,GPP-rbf,1.0,0.0076447647608579895,0.034346708953380586,0.010883416049182415
2,2,128,LPE,0.994,0.02057715286556389,0.0416393511891365,0.012912970036268234
2,2,128,LP,0.995,0.015842549009622273,0.03544668761546963,
2,2,128,SVM,0.9955,0.012584021053293114,0.02970271129768698,
2,2,512,GPP-cosine,0.9915,0.025745828318925888,0.05198471283912659,0.0007591594476252794
2,2,512,GPP-rbf,1.0,0.0006728612087250207,0.013508446216583252,0.0018606531666591763
2,2,512,LPE,0.999,0.004756598302702306,0.01613454210758209,0.0019143139943480492
2,2,512,LP,0.999,0.0038198584501489144,0.014137252519861586,
2,2,512,SVM,1.0,0.0013510042429522647,0.00933232456855761,
2,3,32,GPP-cosine,0.9625,0.07072603555904328,0.07059132635593414,0.017663167789578438
2,3,32,GPP-rbf,0.9675,0.0637178708316935,0.09791609174013137,0.04465179145336151
2,3,32,LPE,0.963,0.08992300844160556,0.10830719324946404,0.06266208738088608
2,3,32,LP,0.966,0.06508559108356146,0.0645095046343395,
2,3,32,SVM,0.947,0.1191455832028164,0.11227462422498126,
2,3,128,GPP-cosine,0.9875,0.030643527084452754,0.05607360380887985,0.0029227989725768566
2,3,128,GPP-rbf,0.9985,0.007154406217724814,0.030817564934492107,0.008974057622253895
2,3,128,LPE,0.9965,0.018902895568938136,0.04589451694488526,0.014362724497914314
2,3,128,LP,0.997,0.012130419208323575,0.03662249292712638,
2,3,128,SVM,0.9985,0.012027037636777984,0.042021855867700394,
2,3,512,GPP-cosine,0.991,0.026402972940077967,0.05472529783844948,0.0008037841180339456
2,3,512,GPP-rbf,1.0,0.0007294596522081172,0.013258492946624754,0.001608092337846756
2,3,512,LPE,0.999,0.006165763675474361,0.017214250087738036,0.0022848236840218306
