regime,method,rep,n_obs,auroc
near-OOD (held-out shape 3),GPP (neg latent var),0,8,0.789934375
near-OOD (held-out shape 3),GPP (Episteme),0,8,0.720465625
near-OOD (held-out shape 3),Maha,0,8,0.6669296874999999
near-OOD (held-out shape 3),MSP,0,8,0.5164640625
near-OOD (held-out shape 3),LPE,0,8,0.6408546875
near-OOD (held-out shape 3),kNN,0,8,0.8182640625000001
near-OOD (held-out shape 3),GPP (neg latent var),0,16,0.70214375
near-OOD (held-out shape 3),GPP (Episteme),0,16,0.6498398437499999
near-OOD (held-out shape 3),Maha,0,16,0.4598640625
near-OOD (held-out shape 3),MSP,0,16,0.38462500000000005
near-OOD (held-out shape 3),LPE,0,16,0.512059375
near-OOD (held-out shape 3),kNN,0,16,0.7170062500000001
near-OOD (held-out shape 3),GPP (neg latent var),0,32,0.8666828125
near-OOD (held-out shape 3),GPP (Episteme),0,32,0.5046171875
near-OOD (held-out shape 3),Maha,0,32,0.8964125000000001
near-OOD (held-out shape 3),MSP,0,32,0.31812656250000004
near-OOD (held-out shape 3),LPE,0,32,0.48028906250000003
near-OOD (held-out shape 3),kNN,0,32,0.8134390625000001
near-OOD (held-out shape 3),GPP (neg latent var),0,64,0.9306937500000001
near-OOD (held-out shape 3),GPP (Episteme),0,64,0.44595
near-OOD (held-out shape 3),Maha,0,64,0.920925
near-OOD (held-out shape 3),MSP,0,64,0.25747343749999996
near-OOD (held-out shape 3),LPE,0,64,0.375565625
near-OOD (held-out shape 3),kNN,0,64,0.9188828125000001
near-OOD (held-out shape 3),GPP (neg latent var),0,128,0.9313703124999999
near-OOD (held-out shape 3),GPP (Episteme),0,128,0.38470781249999997
near-OOD (held-out shape 3),Maha,0,128,0.9006546875
near-OOD (held-out shape 3),MSP,0,128,0.2058640625
near-OOD (held-out shape 3),LPE,0,128,0.46593281249999996
near-OOD (held-out shape 3),kNN,0,128,0.9040421875
near-OOD (held-out shape 3),GPP (neg latent var),1,8,0.63176875
near-OOD (held-out shape 3),GPP (Episteme),1,8,0.6702484375
near-OOD (held-out shape 3),Maha,1,8,0.6122796875000001
near-OOD (held-out shape 3),MSP,1,8,0.5574890625000001
near-OOD (held-out shape 3),LPE,1,8,0.69741875
near-OOD (held-out shape 3),kNN,1,8,0.722209375
near-OOD (held-out shape 3),GPP (neg latent var),1,16,0.8080429687499999
near-OOD (held-out shape 3),GPP (Episteme),1,16,0.6587328125
near-OOD (held-out shape 3),Maha,1,16,0.811521875
near-OOD (held-out shape 3),MSP,1,16,0.4680421875
near-OOD (held-out shape 3),LPE,1,16,0.7398875
near-OOD (held-out shape 3),kNN,1,16,0.8131140625
near-OOD (held-out shape 3),GPP (neg latent var),1,32,0.86386875
near-OOD (held-out shape 3),GPP (Episteme),1,32,0.6987859375000001
near-OOD (held-out shape 3),Maha,1,32,0.83788125
near-OOD (held-out shape 3),MSP,1,32,0.36742343749999995
near-OOD (held-out shape 3),LPE,1,32,0.7061625
near-OOD (held-out shape 3),kNN,1,32,0.78740625
near-OOD (held-out shape 3),GPP (neg latent var),1,64,0.902828125
near-OOD (held-out shape 3),GPP (Episteme),1,64,0.4564078125
near-OOD (held-out shape 3),Maha,1,64,0.9002140625000001
near-OOD (held-out shape 3),MSP,1,64,0.2875671875
